hr	m³/s
12/08/2002 09:00	1.900
12/08/2002 10:00	1.900
12/08/2002 11:00	1.900
12/08/2002 12:00	1.900
12/08/2002 13:00	1.900
12/08/2002 14:00	1.900
12/08/2002 15:00	1.900
12/08/2002 16:00	1.900
12/08/2002 17:00	1.900
12/08/2002 18:00	1.900
12/08/2002 19:00	1.901
12/08/2002 20:00	1.901
12/08/2002 21:00	1.901
12/08/2002 22:00	1.901
12/08/2002 23:00	1.901
13/08/2002 00:00	1.900
13/08/2002 01:00	1.900
13/08/2002 02:00	1.900
13/08/2002 03:00	1.900
13/08/2002 04:00	1.900
13/08/2002 05:00	1.900255526
13/08/2002 06:00	1.900192793
13/08/2002 07:00	1.900123879
13/08/2002 08:00	1.90004879
13/08/2002 09:00	1.899970655
13/08/2002 10:00	1.899886355
13/08/2002 11:00	1.899795896
13/08/2002 12:00	1.899699285
13/08/2002 13:00	1.89959965
13/08/2002 14:00	1.899493873
13/08/2002 15:00	1.89938196
13/08/2002 16:00	1.899270162
13/08/2002 17:00	1.899158482
13/08/2002 18:00	1.899046917
13/08/2002 19:00	1.898935469
13/08/2002 20:00	1.898830383
13/08/2002 21:00	1.898731653
13/08/2002 22:00	1.89863615
13/08/2002 23:00	1.898543869
14/08/2002 00:00	1.898454808
14/08/2002 01:00	1.898368963
14/08/2002 02:00	1.89828633
14/08/2002 03:00	1.898206907
14/08/2002 04:00	1.898124444
14/08/2002 05:00	1.898035819
14/08/2002 06:00	1.897944163
14/08/2002 07:00	1.89784948
14/08/2002 08:00	1.897745525
14/08/2002 09:00	1.897635431
14/08/2002 10:00	1.897522329
14/08/2002 11:00	1.897403098
14/08/2002 12:00	1.897283991
14/08/2002 13:00	1.897177501
14/08/2002 14:00	1.897089863
14/08/2002 15:00	1.897021055
14/08/2002 16:00	1.89697106
14/08/2002 17:00	1.89693361
14/08/2002 18:00	1.896905569
14/08/2002 19:00	1.89689005
14/08/2002 20:00	1.896883918
14/08/2002 21:00	1.896887162
14/08/2002 22:00	1.89689665
14/08/2002 23:00	1.896896758
15/08/2002 00:00	1.896881248
15/08/2002 01:00	1.896850138
15/08/2002 02:00	1.896800321
15/08/2002 03:00	1.896731815
15/08/2002 04:00	1.89664464
15/08/2002 05:00	1.896538816
15/08/2002 06:00	1.896417486
15/08/2002 07:00	1.896280665
