hr	m³/s
12/08/2002 09:00	0.694
12/08/2002 10:00	0.689
12/08/2002 11:00	0.684
12/08/2002 12:00	0.679
12/08/2002 13:00	0.674
12/08/2002 14:00	0.669
12/08/2002 15:00	0.664
12/08/2002 16:00	0.659
12/08/2002 17:00	0.654
12/08/2002 18:00	0.649
12/08/2002 19:00	0.643
12/08/2002 20:00	0.638
12/08/2002 21:00	0.632
12/08/2002 22:00	0.627
12/08/2002 23:00	0.621
13/08/2002 00:00	0.615
13/08/2002 01:00	0.609
13/08/2002 02:00	0.603
13/08/2002 03:00	0.597
13/08/2002 04:00	0.591
13/08/2002 05:00	0.585146296
13/08/2002 06:00	0.579264261
13/08/2002 07:00	0.573380609
13/08/2002 08:00	0.567495448
13/08/2002 09:00	0.561670721
13/08/2002 10:00	0.555843384
13/08/2002 11:00	0.550013568
13/08/2002 12:00	0.5441814
13/08/2002 13:00	0.538408841
13/08/2002 14:00	0.532632863
13/08/2002 15:00	0.526853613
13/08/2002 16:00	0.521194905
13/08/2002 17:00	0.515654254
13/08/2002 18:00	0.510229222
13/08/2002 19:00	0.504917426
13/08/2002 20:00	0.4998402
13/08/2002 21:00	0.49499263
13/08/2002 22:00	0.490308065
13/08/2002 23:00	0.485783105
14/08/2002 00:00	0.48141442
14/08/2002 01:00	0.477198747
14/08/2002 02:00	0.473132891
14/08/2002 03:00	0.469213725
14/08/2002 04:00	0.465314512
14/08/2002 05:00	0.461373043
14/08/2002 06:00	0.4574521
14/08/2002 07:00	0.453551298
14/08/2002 08:00	0.449546588
14/08/2002 09:00	0.445502062
14/08/2002 10:00	0.441480453
14/08/2002 11:00	0.43741949
14/08/2002 12:00	0.433443732
14/08/2002 13:00	0.429798764
14/08/2002 14:00	0.426601281
14/08/2002 15:00	0.423841826
14/08/2002 16:00	0.421511133
14/08/2002 17:00	0.419476457
14/08/2002 18:00	0.417669703
14/08/2002 19:00	0.416147892
14/08/2002 20:00	0.414843158
14/08/2002 21:00	0.413750908
14/08/2002 22:00	0.412804811
14/08/2002 23:00	0.411692596
15/08/2002 00:00	0.410294132
15/08/2002 01:00	0.408615515
15/08/2002 02:00	0.406600878
15/08/2002 03:00	0.404257379
15/08/2002 04:00	0.401592029
15/08/2002 05:00	0.398611698
15/08/2002 06:00	0.395384945
15/08/2002 07:00	0.391917045
15/08/2002 08:00	0.388274995
15/08/2002 09:00	0.384586211
15/08/2002 10:00	0.380851732
15/08/2002 11:00	0.377072575
15/08/2002 12:00	0.373249737
15/08/2002 13:00	0.369384193
15/08/2002 14:00	0.365538735
15/08/2002 15:00	0.361712986
15/08/2002 16:00	0.357906574
15/08/2002 17:00	0.354180973
15/08/2002 18:00	0.350534514
15/08/2002 19:00	0.346903729
15/08/2002 20:00	0.343288329
15/08/2002 21:00	0.339749869
15/08/2002 22:00	0.336286761
15/08/2002 23:00	0.332835612
16/08/2002 00:00	0.329396212
16/08/2002 01:00	0.326030192
16/08/2002 02:00	0.322674198
16/08/2002 03:00	0.319328061
16/08/2002 04:00	0.31605345
16/08/2002 05:00	0.312848886
16/08/2002 06:00	0.309651088
16/08/2002 07:00	0.306459951
16/08/2002 08:00	0.303337211
16/08/2002 09:00	0.300157782
16/08/2002 10:00	0.296861071
16/08/2002 11:00	0.293449608
16/08/2002 12:00	0.289925875
16/08/2002 13:00	0.28641597
16/08/2002 14:00	0.283166988
16/08/2002 15:00	0.280235266
16/08/2002 16:00	0.277552271
16/08/2002 17:00	0.275174589
16/08/2002 18:00	0.273095768
16/08/2002 19:00	0.271247653
16/08/2002 20:00	0.269563533
16/08/2002 21:00	0.267916276
16/08/2002 22:00	0.266181448
16/08/2002 23:00	0.2644846
17/08/2002 00:00	0.26294862
17/08/2002 01:00	0.261508274
17/08/2002 02:00	0.259976044
17/08/2002 03:00	0.258230226
17/08/2002 04:00	0.256275377
17/08/2002 05:00	0.254054121
17/08/2002 06:00	0.251633978
17/08/2002 07:00	0.249081037
17/08/2002 08:00	0.246459985
17/08/2002 09:00	0.243895973
17/08/2002 10:00	0.241325985
17/08/2002 11:00	0.238688345
17/08/2002 12:00	0.236046357
17/08/2002 13:00	0.233400146
17/08/2002 14:00	0.230687998
17/08/2002 15:00	0.227911348
17/08/2002 16:00	0.225133435
17/08/2002 17:00	0.222416155
17/08/2002 18:00	0.219758256
17/08/2002 19:00	0.217158509
17/08/2002 20:00	0.214615712
17/08/2002 21:00	0.212066851
17/08/2002 22:00	0.209450251
17/08/2002 23:00	0.206705546
18/08/2002 00:00	0.203773654
18/08/2002 01:00	0.200658585
18/08/2002 02:00	0.197426102
18/08/2002 03:00	0.194140575
18/08/2002 04:00	0.190741333
18/08/2002 05:00	0.187292668
18/08/2002 06:00	0.183857509
18/08/2002 07:00	0.180373776
18/08/2002 08:00	0.176904379
18/08/2002 09:00	0.173510891
18/08/2002 10:00	0.170129909
18/08/2002 11:00	0.166761208
18/08/2002 12:00	0.163466404
18/08/2002 13:00	0.160182134
18/08/2002 14:00	0.156908214
18/08/2002 15:00	0.1537063
18/08/2002 16:00	0.150574904
18/08/2002 17:00	0.147450731
18/08/2002 18:00	0.144333666
18/08/2002 19:00	0.141285432
18/08/2002 20:00	0.138304605
18/08/2002 21:00	0.135389791
18/08/2002 22:00	0.132539623
18/08/2002 23:00	0.129752764
19/08/2002 00:00	0.127027905
19/08/2002 01:00	0.124301926
19/08/2002 02:00	0.121636719
19/08/2002 03:00	0.119031028
19/08/2002 04:00	0.116421785
19/08/2002 05:00	0.113870931
19/08/2002 06:00	0.111439096
19/08/2002 07:00	0.109309288
19/08/2002 08:00	0.107536957
19/08/2002 09:00	0.106052701
19/08/2002 10:00	0.104726747
19/08/2002 11:00	0.103555751
19/08/2002 12:00	0.102598272
19/08/2002 13:00	0.101849788
19/08/2002 14:00	0.10130587
19/08/2002 15:00	0.100962179
19/08/2002 16:00	0.10081447
19/08/2002 17:00	0.10085858
