hr	m³/s
12/08/2002 09:00	0.036
12/08/2002 10:00	0.041
12/08/2002 11:00	0.046
12/08/2002 12:00	0.051
12/08/2002 13:00	0.036
12/08/2002 14:00	0.041
12/08/2002 15:00	0.046
12/08/2002 16:00	0.041
12/08/2002 17:00	0.026
12/08/2002 18:00	0.021
12/08/2002 19:00	0.006
12/08/2002 20:00	0.000
12/08/2002 21:00	0.000
12/08/2002 22:00	0.000
12/08/2002 23:00	0.000
13/08/2002 00:00	0.000
13/08/2002 01:00	0.000
13/08/2002 02:00	0.000
13/08/2002 03:00	0.000
13/08/2002 04:00	0.000
13/08/2002 05:00	0.0001
13/08/2002 06:00	0.0001
13/08/2002 07:00	0.0001
13/08/2002 08:00	0.0001
13/08/2002 09:00	0.0001
13/08/2002 10:00	0.0001
13/08/2002 11:00	0.0001
13/08/2002 12:00	0.0001
13/08/2002 13:00	0.0001
13/08/2002 14:00	0.0001
13/08/2002 15:00	0.0001
13/08/2002 16:00	0.0001
13/08/2002 17:00	0.0001
13/08/2002 18:00	0.0001
13/08/2002 19:00	0.0001
13/08/2002 20:00	0.0001
13/08/2002 21:00	0.0001
13/08/2002 22:00	0.0001
13/08/2002 23:00	0.0001
14/08/2002 00:00	0.0001
14/08/2002 01:00	0.0001
14/08/2002 02:00	0.0001
14/08/2002 03:00	0.002579253
14/08/2002 04:00	0.0001
14/08/2002 05:00	0.0001
14/08/2002 06:00	0.0001
14/08/2002 07:00	0.0001
14/08/2002 08:00	0.0001
14/08/2002 09:00	0.0001
14/08/2002 10:00	0.0001
14/08/2002 11:00	0.0001
14/08/2002 12:00	0.0001
14/08/2002 13:00	0.013023648
14/08/2002 14:00	0.046308741
14/08/2002 15:00	0.079137214
14/08/2002 16:00	0.111517874
14/08/2002 17:00	0.12358999
14/08/2002 18:00	0.145424766
14/08/2002 19:00	0.166962076
14/08/2002 20:00	0.178272933
14/08/2002 21:00	0.19936192
14/08/2002 22:00	0.20029853
14/08/2002 23:00	0.171410666
15/08/2002 00:00	0.152824658
15/08/2002 01:00	0.124534414
15/08/2002 02:00	0.096598897
15/08/2002 03:00	0.069010692
15/08/2002 04:00	0.041763245
15/08/2002 05:00	0.014849429
15/08/2002 06:00	0.0001
15/08/2002 07:00	0.0001
15/08/2002 08:00	0.0001
15/08/2002 09:00	0.0001
15/08/2002 10:00	0.0001
15/08/2002 11:00	0.0001
15/08/2002 12:00	0.0001
15/08/2002 13:00	0.0001
15/08/2002 14:00	0.0001
15/08/2002 15:00	0.0001
15/08/2002 16:00	0.0001
15/08/2002 17:00	0.0001
15/08/2002 18:00	0.0001
15/08/2002 19:00	0.0001
15/08/2002 20:00	0.0001
15/08/2002 21:00	0.0001
15/08/2002 22:00	0.0001
15/08/2002 23:00	0.0001
16/08/2002 00:00	0.0001
16/08/2002 01:00	0.0001
16/08/2002 02:00	0.0001
16/08/2002 03:00	0.0001
16/08/2002 04:00	0.0001
16/08/2002 05:00	0.0001
16/08/2002 06:00	0.0001
16/08/2002 07:00	0.0001
16/08/2002 08:00	0.0001
16/08/2002 09:00	0.0001
16/08/2002 10:00	0.0001
16/08/2002 11:00	0.0001
16/08/2002 12:00	0.0001
16/08/2002 13:00	0.0001
16/08/2002 14:00	0.0001
16/08/2002 15:00	0.0001
16/08/2002 16:00	0.0001
16/08/2002 17:00	0.005316009
16/08/2002 18:00	0.027583783
16/08/2002 19:00	0.039611294
16/08/2002 20:00	0.051468377
16/08/2002 21:00	0.043288436
16/08/2002 22:00	0.035202133
16/08/2002 23:00	0.047077643
17/08/2002 00:00	0.058785854
17/08/2002 01:00	0.060395137
17/08/2002 02:00	0.042102395
17/08/2002 03:00	0.024035551
17/08/2002 04:00	0.006190037
17/08/2002 05:00	0.0001
17/08/2002 06:00	0.0001
17/08/2002 07:00	0.0001
17/08/2002 08:00	0.0001
17/08/2002 09:00	0.0001
17/08/2002 10:00	0.0001
17/08/2002 11:00	0.0001
17/08/2002 12:00	0.0001
17/08/2002 13:00	0.0001
17/08/2002 14:00	0.0001
17/08/2002 15:00	0.0001
17/08/2002 16:00	0.0001
17/08/2002 17:00	0.0001
17/08/2002 18:00	0.0001
17/08/2002 19:00	0.0001
17/08/2002 20:00	0.0001
17/08/2002 21:00	0.0001
17/08/2002 22:00	0.0001
17/08/2002 23:00	0.0001
18/08/2002 00:00	0.0001
18/08/2002 01:00	0.0001
18/08/2002 02:00	0.0001
18/08/2002 03:00	0.0001
18/08/2002 04:00	0.0001
18/08/2002 05:00	0.0001
18/08/2002 06:00	0.0001
18/08/2002 07:00	0.0001
18/08/2002 08:00	0.0001
18/08/2002 09:00	0.0001
18/08/2002 10:00	0.0001
18/08/2002 11:00	0.0001
18/08/2002 12:00	0.0001
18/08/2002 13:00	0.0001
18/08/2002 14:00	0.0001
18/08/2002 15:00	0.0001
18/08/2002 16:00	0.0001
18/08/2002 17:00	0.0001
18/08/2002 18:00	0.0001
18/08/2002 19:00	0.0001
18/08/2002 20:00	0.0001
18/08/2002 21:00	0.0001
18/08/2002 22:00	0.0001
18/08/2002 23:00	0.0001
19/08/2002 00:00	0.0001
19/08/2002 01:00	0.0001
19/08/2002 02:00	0.0001
19/08/2002 03:00	0.0001
19/08/2002 04:00	0.0001
19/08/2002 05:00	0.0001
19/08/2002 06:00	0.0001
19/08/2002 07:00	0.0001
19/08/2002 08:00	0.0001
19/08/2002 09:00	0.0001
19/08/2002 10:00	0.0001
19/08/2002 11:00	0.0001
19/08/2002 12:00	0.0001
19/08/2002 13:00	0.018791025
19/08/2002 14:00	0.029618492
19/08/2002 15:00	0.050236055
19/08/2002 16:00	0.060647993
19/08/2002 17:00	0.080858455
19/08/2002 18:00	0.100806577
19/08/2002 19:00	0.110562645
19/08/2002 20:00	0.120195499
19/08/2002 21:00	0.109837569
19/08/2002 22:00	0.099618564
19/08/2002 23:00	0.089535663
20/08/2002 00:00	0.069651072
20/08/2002 01:00	0.06989578
20/08/2002 02:00	0.050267202
20/08/2002 03:00	0.05076273
20/08/2002 04:00	0.031379888
20/08/2002 05:00	0.02218114
20/08/2002 06:00	0.013097808
20/08/2002 07:00	0.0001
20/08/2002 08:00	0.0001
20/08/2002 09:00	0.0001
20/08/2002 10:00	0.0001
20/08/2002 11:00	0.0001
20/08/2002 12:00	0.0001
20/08/2002 13:00	0.0001
20/08/2002 14:00	0.0001
20/08/2002 15:00	0.0001
20/08/2002 16:00	0.0001
20/08/2002 17:00	0.0001
20/08/2002 18:00	0.01856815
20/08/2002 19:00	0.088915816
20/08/2002 20:00	0.168283856
20/08/2002 21:00	0.286367538
20/08/2002 22:00	0.442672983
20/08/2002 23:00	0.606911219
21/08/2002 00:00	0.749189583
21/08/2002 01:00	0.86980713
21/08/2002 02:00	0.978992814
21/08/2002 03:00	1.06697001
21/08/2002 04:00	1.143958484
21/08/2002 05:00	1.210107642
21/08/2002 06:00	1.265564564
21/08/2002 07:00	1.310473107
21/08/2002 08:00	1.325104381
21/08/2002 09:00	1.329723251
21/08/2002 10:00	1.314524987
21/08/2002 11:00	1.289700647
21/08/2002 12:00	1.265307498
21/08/2002 13:00	1.241336698
21/08/2002 14:00	1.207844322
21/08/2002 15:00	1.164950967
21/08/2002 16:00	1.152514208
21/08/2002 17:00	1.140329854
21/08/2002 18:00	1.148262766
21/08/2002 19:00	1.176050886
21/08/2002 20:00	1.223436759
21/08/2002 21:00	1.290168856
21/08/2002 22:00	1.366065714
21/08/2002 23:00	1.431143723
22/08/2002 00:00	1.475614512
22/08/2002 01:00	1.489815096
22/08/2002 02:00	1.484075637
22/08/2002 03:00	1.458654653
22/08/2002 04:00	1.423740451
22/08/2002 05:00	1.379452574
22/08/2002 06:00	1.335843179
22/08/2002 07:00	1.302833448
22/08/2002 08:00	1.240541091
22/08/2002 09:00	1.218886457
22/08/2002 10:00	1.187661469
22/08/2002 11:00	1.146987733
22/08/2002 12:00	1.116853746
22/08/2002 13:00	1.077248517
22/08/2002 14:00	1.058096273
22/08/2002 15:00	1.02932284
22/08/2002 16:00	1.000985429
22/08/2002 17:00	0.963140114
22/08/2002 18:00	0.935776847
22/08/2002 19:00	0.898885825
22/08/2002 20:00	0.882392441
22/08/2002 21:00	0.846288392
22/08/2002 22:00	0.830566179
22/08/2002 23:00	0.805152857
23/08/2002 00:00	0.780107078
23/08/2002 01:00	0.75542136
23/08/2002 02:00	0.721153341
23/08/2002 03:00	0.707229538
23/08/2002 04:00	0.663707953
23/08/2002 05:00	0.640645323
23/08/2002 06:00	0.607967391
23/08/2002 07:00	0.565796261
23/08/2002 08:00	0.534121388
23/08/2002 09:00	0.512803255
23/08/2002 10:00	0.491769437
23/08/2002 11:00	0.471014164
23/08/2002 12:00	0.450531786
23/08/2002 13:00	0.440251801
23/08/2002 14:00	0.430105155
23/08/2002 15:00	0.410154116
23/08/2002 16:00	0.410329734
23/08/2002 17:00	0.430369606
23/08/2002 18:00	0.470016652
23/08/2002 19:00	0.499213907
23/08/2002 20:00	0.518100409
23/08/2002 21:00	0.556617704
23/08/2002 22:00	0.584707869
23/08/2002 23:00	0.622379772
24/08/2002 00:00	0.639706871
24/08/2002 01:00	0.656826042
24/08/2002 02:00	0.653871423
24/08/2002 03:00	0.641039362
24/08/2002 04:00	0.628392309
24/08/2002 05:00	0.605991465
24/08/2002 06:00	0.593831807
24/08/2002 07:00	0.611648577
24/08/2002 08:00	0.69879261
24/08/2002 09:00	0.75501779
24/08/2002 10:00	0.800602783
24/08/2002 11:00	0.845625022
24/08/2002 12:00	0.880161094
24/08/2002 13:00	0.944090868
24/08/2002 14:00	1.01716702
24/08/2002 15:00	1.139016551
24/08/2002 16:00	1.269275039
24/08/2002 17:00	1.378039201
24/08/2002 18:00	1.465599341
24/08/2002 19:00	1.532239633
24/08/2002 20:00	1.588173749
24/08/2002 21:00	1.613675303
24/08/2002 22:00	1.619077997
24/08/2002 23:00	1.63444891
25/08/2002 00:00	1.619918078
25/08/2002 01:00	1.6056785
25/08/2002 02:00	1.611594243
25/08/2002 03:00	1.6075969
25/08/2002 04:00	1.603750278
25/08/2002 05:00	1.609985558
25/08/2002 06:00	1.60630101
25/08/2002 07:00	1.592825312
25/08/2002 08:00	1.599488922
25/08/2002 09:00	1.606159032
25/08/2002 10:00	1.622770694
25/08/2002 11:00	1.609454496
25/08/2002 12:00	1.606339243
25/08/2002 13:00	1.603355121
25/08/2002 14:00	1.590565065
25/08/2002 15:00	1.59789984
25/08/2002 16:00	1.585356872
25/08/2002 17:00	1.573063505
25/08/2002 18:00	1.531209745
25/08/2002 19:00	1.509850809
25/08/2002 20:00	1.459042307
25/08/2002 21:00	1.428837688
25/08/2002 22:00	1.379224683
25/08/2002 23:00	1.360125996
26/08/2002 00:00	1.341337002
26/08/2002 01:00	1.332785694
26/08/2002 02:00	1.324402487
26/08/2002 03:00	1.326118719
26/08/2002 04:00	1.317932816
26/08/2002 05:00	1.309907461
26/08/2002 06:00	1.292104557
26/08/2002 07:00	1.28451906
26/08/2002 08:00	1.257211739
26/08/2002 09:00	1.250176875
26/08/2002 10:00	1.243279005
26/08/2002 11:00	1.206709981
26/08/2002 12:00	1.180593451
26/08/2002 13:00	1.144920228
26/08/2002 14:00	1.129615596
26/08/2002 15:00	1.074802499
26/08/2002 16:00	1.030666012
26/08/2002 17:00	0.977192416
26/08/2002 18:00	0.904562432
26/08/2002 19:00	0.85275985
26/08/2002 20:00	0.791702014
26/08/2002 21:00	0.741374509
26/08/2002 22:00	0.701632379
26/08/2002 23:00	0.662398576
27/08/2002 00:00	0.623663278
27/08/2002 01:00	0.595351189
27/08/2002 02:00	0.567388795
27/08/2002 03:00	0.539769028
27/08/2002 04:00	0.512484964
27/08/2002 05:00	0.485529821
27/08/2002 06:00	0.468831989
27/08/2002 07:00	0.452321093
27/08/2002 08:00	0.435993847
27/08/2002 09:00	0.419846322
27/08/2002 10:00	0.403874909
27/08/2002 11:00	0.38807607
27/08/2002 12:00	0.372446342
27/08/2002 13:00	0.366917364
27/08/2002 14:00	0.36142218
27/08/2002 15:00	0.346025112
27/08/2002 16:00	0.330789158
27/08/2002 17:00	0.315711089
27/08/2002 18:00	0.290852715
27/08/2002 19:00	0.266274333
27/08/2002 20:00	0.241970782
27/08/2002 21:00	0.2179363
27/08/2002 22:00	0.214035538
27/08/2002 23:00	0.190265872
28/08/2002 00:00	0.166754591
28/08/2002 01:00	0.1733016
28/08/2002 02:00	0.159840855
28/08/2002 03:00	0.156437495
28/08/2002 04:00	0.153025457
28/08/2002 05:00	0.149604968
28/08/2002 06:00	0.136241219
28/08/2002 07:00	0.132933091
28/08/2002 08:00	0.119679526
28/08/2002 09:00	0.11647945
28/08/2002 10:00	0.123201913
28/08/2002 11:00	0.099978254
28/08/2002 12:00	0.106807849
28/08/2002 13:00	0.103559554
28/08/2002 14:00	0.100299948
28/08/2002 15:00	0.087094282
28/08/2002 16:00	0.074006461
28/08/2002 17:00	0.06103415
28/08/2002 18:00	0.048175057
28/08/2002 19:00	0.015556878
28/08/2002 20:00	0.003174746
28/08/2002 21:00	0.0001
28/08/2002 22:00	0.0001
28/08/2002 23:00	0.0001
29/08/2002 00:00	0.003803941
29/08/2002 01:00	0.011146727
29/08/2002 02:00	0.028271981
29/08/2002 03:00	0.035184187
29/08/2002 04:00	0.032017634
29/08/2002 05:00	0.038773951
29/08/2002 06:00	0.045389802
29/08/2002 07:00	0.041933053
29/08/2002 08:00	0.038470175
29/08/2002 09:00	0.03500134
29/08/2002 10:00	0.041461749
29/08/2002 11:00	0.037852667
29/08/2002 12:00	0.03424097
29/08/2002 13:00	0.040561556
29/08/2002 14:00	0.046750894
29/08/2002 15:00	0.042876661
29/08/2002 16:00	0.048940171
29/08/2002 17:00	0.054877782
29/08/2002 18:00	0.060692091
29/08/2002 19:00	0.066385641
29/08/2002 20:00	0.071960922
29/08/2002 21:00	0.067485342
29/08/2002 22:00	0.063024925
29/08/2002 23:00	0.068514434
30/08/2002 00:00	0.063954943
30/08/2002 01:00	0.069347469
30/08/2002 02:00	0.064693042
30/08/2002 03:00	0.069992634
30/08/2002 04:00	0.075182268
30/08/2002 05:00	0.080264211
30/08/2002 06:00	0.075305653
30/08/2002 07:00	0.070372402
30/08/2002 08:00	0.065463982
30/08/2002 09:00	0.070514958
30/08/2002 10:00	0.055591178
30/08/2002 11:00	0.06069213
30/08/2002 12:00	0.055752417
30/08/2002 13:00	0.060772884
30/08/2002 14:00	0.055754392
30/08/2002 15:00	0.060697749
30/08/2002 16:00	0.055603783
30/08/2002 17:00	0.050538236
30/08/2002 18:00	0.0554356
30/08/2002 19:00	0.04036165
30/08/2002 20:00	0.015510707
30/08/2002 21:00	0.0001
30/08/2002 22:00	0.0001
30/08/2002 23:00	0.0001
31/08/2002 00:00	0.0001
31/08/2002 01:00	0.0001
31/08/2002 02:00	0.0001
31/08/2002 03:00	0.0001
31/08/2002 04:00	0.0001
31/08/2002 05:00	0.0001
31/08/2002 06:00	0.0001
31/08/2002 07:00	0.0001
31/08/2002 08:00	0.0001
31/08/2002 09:00	0.0001
31/08/2002 10:00	0.0001
31/08/2002 11:00	0.0001
31/08/2002 12:00	0.0001
31/08/2002 13:00	0.0001
31/08/2002 14:00	0.0001
31/08/2002 15:00	0.0001
31/08/2002 16:00	0.0001
31/08/2002 17:00	0.0001
31/08/2002 18:00	0.0001
31/08/2002 19:00	0.0001
31/08/2002 20:00	0.0001
31/08/2002 21:00	0.0001
31/08/2002 22:00	0.0001
31/08/2002 23:00	0.0001
01/09/2002 00:00	0.0001
01/09/2002 01:00	0.0001
01/09/2002 02:00	0.0001
01/09/2002 03:00	0.0001
01/09/2002 04:00	0.0001
01/09/2002 05:00	0.0001
01/09/2002 06:00	0.0001
01/09/2002 07:00	0.0001
01/09/2002 08:00	0.0001
01/09/2002 09:00	0.0001
01/09/2002 10:00	0.0001
01/09/2002 11:00	0.0001
01/09/2002 12:00	0.0001
01/09/2002 13:00	0.0001
01/09/2002 14:00	0.0001
01/09/2002 15:00	0.0001
01/09/2002 16:00	0.0001
01/09/2002 17:00	0.0001
01/09/2002 18:00	0.0001
01/09/2002 19:00	0.0001
01/09/2002 20:00	0.0001
01/09/2002 21:00	0.0001
01/09/2002 22:00	0.0001
01/09/2002 23:00	0.0001
02/09/2002 00:00	0.0001
02/09/2002 01:00	0.0001
02/09/2002 02:00	0.0001
02/09/2002 03:00	0.0001
02/09/2002 04:00	0.0001
02/09/2002 05:00	0.0001
02/09/2002 06:00	0.0001
02/09/2002 07:00	0.0001
02/09/2002 08:00	0.0001
02/09/2002 09:00	0.0001
02/09/2002 10:00	0.0001
02/09/2002 11:00	0.0001
02/09/2002 12:00	0.0001
02/09/2002 13:00	0.0001
02/09/2002 14:00	0.0001
02/09/2002 15:00	0.0001
02/09/2002 16:00	0.0001
02/09/2002 17:00	0.0001
02/09/2002 18:00	0.0001
02/09/2002 19:00	0.0001
02/09/2002 20:00	0.0001
02/09/2002 21:00	0.0001
02/09/2002 22:00	0.0001
02/09/2002 23:00	0.0001
03/09/2002 00:00	0.0001
03/09/2002 01:00	0.0001
03/09/2002 02:00	0.0001
03/09/2002 03:00	0.0001
03/09/2002 04:00	0.0001
03/09/2002 05:00	0.0001
03/09/2002 06:00	0.0001
03/09/2002 07:00	0.0001
03/09/2002 08:00	0.0001
03/09/2002 09:00	0.0001
03/09/2002 10:00	0.0001
03/09/2002 11:00	0.0001
03/09/2002 12:00	0.0001
03/09/2002 13:00	0.0001
03/09/2002 14:00	0.0001
03/09/2002 15:00	0.0001
03/09/2002 16:00	0.0001
03/09/2002 17:00	0.0001
03/09/2002 18:00	0.0001
03/09/2002 19:00	0.0001
03/09/2002 20:00	0.0001
03/09/2002 21:00	0.0001
03/09/2002 22:00	0.0001
03/09/2002 23:00	0.0001
04/09/2002 00:00	0.0001
04/09/2002 01:00	0.0001
04/09/2002 02:00	0.0001
04/09/2002 03:00	0.0001
04/09/2002 04:00	0.0001
04/09/2002 05:00	0.0001
04/09/2002 06:00	0.0001
04/09/2002 07:00	0.0001
04/09/2002 08:00	0.0001
04/09/2002 09:00	0.0001
04/09/2002 10:00	0.0001
04/09/2002 11:00	0.0001
04/09/2002 12:00	0.0001
04/09/2002 13:00	0.0001
04/09/2002 14:00	0.0001
04/09/2002 15:00	0.0001
04/09/2002 16:00	0.0001
04/09/2002 17:00	0.0001
04/09/2002 18:00	0.0001
04/09/2002 19:00	0.0001
04/09/2002 20:00	0.0001
04/09/2002 21:00	0.0001
04/09/2002 22:00	0.0001
04/09/2002 23:00	0.0001
05/09/2002 00:00	0.0001
05/09/2002 01:00	0.0001
05/09/2002 02:00	0.009241114
05/09/2002 03:00	0.010620158
05/09/2002 04:00	0.011972981
